LastPayDex,PayDex2,PayDex4
79.5,79.5,78.5
79.75,76.25,75.25
52.0,54.0,67.0
66.0,70.5,76.75
80.0,80.0,80.0
55.0,51.0,77.0
77.25,77.5,72.5
78.75,77.0,77.5
81.0,84.0,82.5
80.0,61.5,46.0
68.0,72.5,61.0
76.25,72.0,67.0
56.25,63.75,72.75
80.0,80.0,80.0
62.25,61.5,60.0
77.0,79.25,70.5
77.5,76.25,71.5
75.5,76.0,73.75
77.25,77.75,72.5
80.0,80.0,80.0
68.75,74.0,75.25
80.0,80.0,68.0
76.5,79.75,79.5
80.0,80.0,80.0
80.0,80.0,80.0
80.0,60.0,80.0
63.0,63.0,53.0
77.5,81.0,74.25
80.0,80.0,60.75
48.0,80.0,80.0
80.0,80.0,66.0
80.0,72.0,71.0
80.0,80.0,59.0
74.0,74.0,60.75
74.25,71.5,75.5
79.5,73.25,66.75
80.0,80.0,80.0
80.0,79.0,80.0
80.0,80.0,34.0
79.25,77.5,73.25
67.5,80.0,74.25
30.0,32.0,32.0
75.0,79.0,79.0
3.0,3.0,7.0
77.25,73.75,79.0
80.0,80.0,80.0
72.0,80.0,80.0
71.0,71.0,80.0
71.75,73.25,78.0
80.0,80.0,78.5
67.25,61.5,61.5
77.5,77.25,77.0
57.75,51.25,58.25
80.0,80.0,79.0
61.0,46.0,59.0
80.0,80.0,80.0
80.0,68.0,70.0
80.0,80.0,63.0
79.0,83.75,83.75
73.5,75.75,75.5
80.0,74.0,68.5
79.75,80.0,80.0
80.0,80.0,80.0
67.5,63.25,73.5
64.0,71.0,80.0
76.0,74.25,75.25
62.5,76.5,70.0
75.25,70.0,73.5
70.0,65.25,79.0
75.5,81.0,79.75
80.0,79.0,79.0
80.0,80.0,80.0
79.5,80.0,67.75
81.25,81.5,81.5
66.0,65.75,73.0
79.5,72.5,76.5
72.75,75.25,63.75
67.0,80.0,80.0
78.0,79.0,74.0
43.0,52.0,53.0
80.0,80.0,80.0
67.75,80.0,80.0
80.0,80.0,76.0
19.0,77.25,74.5
80.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,80.0
65.75,47.0,65.0
60.75,63.25,60.75
62.25,61.0,59.0
77.0,79.75,72.0
80.0,72.75,77.0
80.0,80.0,80.0
84.0,80.0,79.5
80.0,80.0,79.0
79.5,78.0,79.5
82.5,74.25,67.25
65.25,72.5,76.5
60.0,63.0,60.0
37.0,77.0,77.75
81.0,80.0,78.5
79.5,80.0,67.75
80.0,54.25,59.0
78.0,68.0,59.0
74.0,57.0,60.75
80.0,77.75,71.25
64.5,80.0,80.0
52.0,78.5,78.5
79.0,77.0,80.0
59.25,68.5,66.5
55.0,55.0,61.25
80.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,80.0
56.0,61.25,61.0
77.5,75.75,79.25
73.25,74.25,79.25
79.5,80.0,78.5
65.25,63.25,66.5
80.0,80.0,73.25
78.0,71.0,77.75
64.75,78.5,78.25
74.0,54.5,80.25
78.25,80.0,80.0
73.75,72.25,80.25
78.5,75.5,70.5
51.0,80.0,80.0
79.75,79.75,77.0
76.75,78.25,78.0
70.25,66.75,75.75
57.5,71.25,80.5
80.0,79.25,76.0
79.75,79.75,77.0
73.5,72.25,80.25
66.5,69.0,66.75
34.25,57.5,57.5
80.0,80.0,78.5
71.25,79.75,78.75
79.0,77.0,67.0
73.75,51.5,77.0
71.0,77.75,78.0
79.25,79.0,73.0
80.0,62.25,76.75
80.0,79.0,76.5
80.0,80.0,80.0
80.0,80.0,63.5
49.75,51.0,52.0
75.5,60.75,62.25
73.25,62.5,61.5
80.0,80.0,80.0
80.0,80.0,78.25
78.5,80.0,77.75
80.0,80.0,79.5
43.0,59.0,65.25
73.75,76.5,77.0
62.0,47.0,65.0
79.25,77.25,73.75
80.0,80.0,79.0
80.0,80.0,79.0
79.0,80.0,80.0
26.0,77.0,80.0
79.0,79.0,79.5
78.5,80.0,78.5
76.0,77.75,79.75
80.0,80.0,80.0
57.0,76.0,73.75
66.0,65.75,73.0
80.0,80.0,79.0
72.0,73.25,73.0
64.0,77.25,74.5
62.0,58.0,59.5
80.0,80.0,80.0
80.0,72.75,77.0
77.25,77.75,72.0
64.75,78.5,78.25
44.75,56.25,59.0
80.0,71.25,71.25
66.25,79.0,78.75
78.25,79.5,79.5
80.0,80.0,78.25
57.0,62.0,60.5
74.75,70.0,74.0
59.25,65.75,73.0
79.0,80.0,71.25
71.0,73.75,79.0
79.25,78.5,74.25
72.25,71.0,66.25
80.0,80.0,80.0
79.5,79.75,71.25
70.25,66.75,75.75
80.0,75.0,76.5
67.0,74.75,75.75
52.75,71.25,74.0
72.75,69.5,68.75
79.5,80.0,80.0
77.75,78.0,79.5
60.0,57.0,57.0
58.5,60.5,79.0
69.5,79.75,73.75
80.25,77.75,72.5
67.0,75.75,74.75
61.5,61.0,61.0
18.0,23.0,18.0
72.5,63.0,68.25
80.0,80.0,80.0
62.25,67.5,78.5
59.5,71.25,74.5
80.0,80.0,76.75
58.25,58.75,56.0
51.0,59.0,59.0
45.5,62.25,76.25
57.0,62.0,77.5
73.75,72.25,80.25
80.0,80.0,80.0
67.5,68.0,68.0
80.0,80.0,74.25
55.0,62.0,73.0
69.0,72.5,79.75
70.25,65.5,75.75
71.0,72.75,68.5
80.0,80.0,80.0
80.0,80.0,80.0
57.0,64.0,76.5
80.25,76.5,72.0
71.25,77.0,78.75
80.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,79.25
79.25,79.25,79.0
74.0,56.25,57.5
41.0,46.0,64.0
62.75,75.75,74.75
79.5,65.0,65.75
80.0,80.0,77.75
79.25,77.25,73.75
79.5,77.5,76.25
74.5,77.5,77.5
80.0,80.0,80.0
79.0,79.25,65.75
76.75,80.0,80.0
75.75,71.5,75.0
70.0,80.0,79.0
44.5,44.5,61.5
74.5,77.5,77.5
80.0,80.0,73.0
79.5,78.0,75.75
64.0,58.0,80.0
66.0,61.25,58.25
72.75,72.75,69.0
69.0,78.0,79.0
80.0,80.0,80.0
42.25,62.25,74.5
73.75,49.0,77.0
73.0,78.0,80.0
80.0,79.75,80.0
69.5,75.75,73.75
61.0,80.0,79.0
77.0,78.5,56.75
49.75,63.0,72.0
75.0,72.5,78.25
77.5,77.25,72.5
80.0,80.0,80.0
80.0,80.0,80.0
77.75,79.25,81.5
78.0,80.0,80.0
79.0,79.0,80.0
81.0,84.0,78.25
65.25,64.0,64.0
80.0,80.0,77.5
76.75,79.75,78.0
74.5,71.25,67.0
66.5,69.5,68.25
80.0,72.0,67.0
79.75,79.75,77.0
57.5,71.25,80.5
79.0,77.75,78.5
61.5,57.75,57.25
78.0,79.0,79.0
56.0,69.0,70.5
80.0,80.0,80.0
60.0,67.0,55.0
69.0,69.0,73.25
72.0,74.0,80.0
79.5,77.5,77.5
80.0,80.0,80.0
66.75,62.5,61.5
63.0,66.0,77.25
73.75,72.25,80.25
56.25,57.0,60.0
40.0,54.0,54.0
57.75,51.25,58.25
79.0,76.5,56.75
67.25,68.75,73.0
80.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,80.0
75.75,73.75,74.5
81.0,81.0,79.75
73.75,54.25,60.25
79.75,79.75,60.75
50.0,80.0,80.0
80.0,80.0,80.0
74.0,72.25,80.25
80.0,80.0,57.0
79.5,77.0,74.75
77.75,79.25,81.5
72.5,58.75,71.5
76.75,80.0,81.25
80.0,74.0,60.75
47.25,61.5,58.25
79.5,79.5,78.5
80.0,80.0,80.0
71.0,77.25,76.5
80.0,80.0,80.0
80.0,73.25,80.0
78.25,73.25,80.0
79.0,65.0,66.0
75.0,78.0,79.0
65.75,65.5,71.25
70.5,73.75,71.5
73.25,75.0,76.75
74.25,66.5,78.5
80.0,80.0,80.0
78.0,61.75,72.5
79.75,79.75,71.25
74.5,78.25,64.0
75.0,79.75,78.0
67.5,66.75,61.75
62.5,71.75,61.5
67.25,68.75,73.0
62.0,47.0,65.0
80.0,80.0,80.0
80.0,79.0,74.75
80.0,80.0,71.25
76.25,77.0,78.25
80.0,79.5,74.25
71.5,71.5,74.75
73.75,79.0,80.0
68.75,66.5,72.25
50.25,77.5,73.0
73.0,70.0,70.0
65.5,70.5,76.75
76.75,75.75,75.5
96.0,96.0,96.0
79.75,79.75,77.0
79.75,77.75,75.25
80.0,47.75,61.25
62.25,67.5,78.25
80.0,80.0,80.0
80.0,78.5,76.25
74.0,77.0,77.0
76.5,79.75,79.5
40.0,80.0,76.0
71.25,67.25,71.5
80.0,67.5,76.25
79.0,76.0,76.0
71.0,72.75,70.5
77.5,72.75,73.0
72.75,72.75,72.0
79.75,80.0,72.5
80.0,80.0,80.0
35.0,61.0,79.75
53.5,71.25,80.5
56.25,57.0,60.75
68.25,74.75,67.0
71.5,77.0,77.0
74.0,49.0,57.5
78.5,79.0,79.25
80.0,78.5,74.75
80.0,80.0,78.25
71.75,73.0,70.0
79.75,79.75,77.0
76.0,77.0,79.25
79.75,79.75,77.0
74.0,70.75,75.75
60.5,77.25,78.0
69.25,79.75,77.0
72.5,71.0,78.75
78.25,77.5,77.5
67.0,74.25,74.25
74.25,66.5,78.5
71.5,80.0,78.5
80.25,79.25,75.75
65.5,73.25,76.0
75.25,71.25,79.0
80.0,67.0,67.0
71.75,70.25,70.25
73.0,74.0,72.0
70.0,70.0,70.0
77.0,74.25,77.0
86.25,85.75,86.5
78.0,74.25,74.25
74.0,72.75,80.25
70.0,73.5,77.0
75.0,79.0,79.0
77.75,81.0,79.75
59.0,66.75,76.0
80.0,80.0,80.0
67.0,67.0,56.0
80.0,80.0,73.75
75.0,79.0,79.0
77.5,73.75,73.25
63.0,70.25,74.75
62.0,80.0,80.0
80.0,80.0,60.75
69.5,79.75,77.75
80.0,73.25,76.0
66.25,66.25,73.0
73.75,73.5,79.75
72.0,76.0,79.0
67.0,74.25,74.25
80.0,80.0,78.75
71.0,79.75,76.25
74.0,57.0,60.75
80.0,80.0,80.0
73.75,76.5,76.75
66.5,69.0,69.0
70.0,74.5,79.0
80.0,80.0,78.5
76.0,76.0,77.0
80.0,80.0,79.0
60.75,61.5,58.75
80.0,80.0,80.0
76.25,72.0,67.0
74.0,76.0,71.0
80.0,80.0,72.5
79.5,78.75,78.75
76.75,80.0,80.0
68.5,63.25,77.0
80.0,80.0,58.0
75.25,80.0,74.75
65.5,61.5,58.75
65.5,70.5,76.75
80.0,80.0,80.0
83.0,82.0,85.0
79.0,71.0,68.0
80.0,80.0,60.75
72.75,69.0,68.5
61.5,61.5,46.0
80.0,78.5,76.0
49.75,42.0,49.25
79.0,76.0,77.0
70.0,70.0,73.5
76.75,75.75,75.5
80.0,80.0,73.25
80.0,77.5,77.5
53.25,79.75,74.25
80.0,80.0,80.0
70.0,74.5,79.0
76.25,77.25,77.5
76.0,63.0,65.0
80.0,80.0,80.0
80.0,80.0,80.0
68.75,75.0,74.0
79.5,65.0,65.75
71.0,77.5,77.5
56.5,42.75,47.25
54.5,55.25,63.5
80.0,75.0,73.0
79.0,83.75,83.75
68.25,76.25,77.75
71.5,64.25,59.25
80.0,80.0,80.0
56.0,59.25,63.5
53.5,57.5,61.0
74.0,73.0,79.25
78.0,79.0,78.0
80.0,69.0,79.0
80.0,74.0,60.75
66.5,69.5,68.25
47.0,57.5,58.5
56.25,57.0,60.0
66.25,59.0,72.75
79.25,80.0,67.25
77.0,58.0,79.0
75.5,76.0,73.75
80.0,80.0,76.75
78.5,75.5,76.0
76.0,79.0,76.5
77.25,81.0,79.75
80.0,80.0,80.0
59.0,54.75,59.75
79.5,79.5,78.5
80.0,75.0,75.25
57.0,62.0,60.5
76.75,80.0,79.5
71.5,74.75,75.75
61.75,61.5,66.0
78.5,72.75,70.5
80.0,80.0,80.0
71.0,77.25,76.5
78.5,80.0,77.75
78.25,76.75,77.0
73.75,72.75,77.0
61.0,61.0,68.0
66.5,69.0,69.0
53.75,59.25,59.25
80.0,80.0,74.75
80.25,80.0,79.0
80.0,80.0,80.0
79.25,79.25,80.0
73.5,67.25,69.0
73.0,70.25,68.75
70.25,69.25,56.25
71.0,66.0,78.0
13.0,20.0,72.5
80.0,80.0,80.0
76.0,76.75,74.0
30.0,30.0,72.0
80.0,76.75,74.75
79.0,83.75,83.75
78.0,80.0,80.0
67.75,77.25,79.75
80.0,62.25,76.75
80.0,80.0,78.75
80.0,80.0,80.0
60.0,61.5,59.25
76.5,76.5,78.0
78.5,79.5,78.5
79.5,79.75,80.0
79.75,78.5,78.0
66.0,65.75,73.0
57.0,76.0,78.0
68.25,74.75,75.75
2.0,61.0,74.5
75.25,74.25,79.0
77.0,73.0,70.25
60.75,67.25,77.5
80.0,79.25,79.0
54.5,55.25,55.75
59.25,63.5,69.75
69.0,69.0,79.0
60.0,64.0,64.0
80.0,74.0,60.75
74.5,78.25,78.0
65.5,80.0,77.5
65.25,72.5,72.25
83.0,84.0,75.75
75.5,78.0,78.0
71.25,78.25,62.5
80.0,80.0,80.0
42.0,80.0,80.0
65.5,70.5,76.75
79.75,79.75,60.75
75.0,74.25,74.25
79.5,79.75,78.5
65.25,73.0,67.0
76.75,74.5,75.5
76.0,76.0,79.0
78.5,73.25,74.0
79.0,79.0,80.0
72.75,72.75,67.0
75.0,76.0,77.0
61.5,61.0,61.0
67.5,76.25,80.0
80.0,76.75,66.0
76.75,77.25,78.5
80.0,80.0,80.0
30.0,30.0,76.75
80.0,80.0,80.0
79.75,79.75,77.0
75.5,62.25,76.75
76.5,76.25,79.5
80.0,79.0,68.0
61.0,70.5,71.75
70.0,74.5,79.0
70.5,72.75,79.25
74.25,60.5,72.0
75.0,67.0,68.0
51.0,51.0,51.0
80.0,80.0,80.0
68.5,62.75,78.5
80.0,80.0,80.0
65.75,74.5,66.5
75.0,74.25,79.0
80.0,80.0,78.25
72.75,72.25,65.0
65.25,66.0,65.75
76.0,77.75,68.5
79.0,73.25,76.5
80.0,75.0,72.75
80.0,79.25,79.0
78.0,75.0,76.5
73.5,76.75,78.25
80.0,79.75,77.0
80.0,73.0,73.0
74.0,73.0,72.0
68.25,68.0,73.5
71.5,71.5,70.5
69.25,79.0,78.75
70.0,80.0,79.0
72.0,74.0,79.0
72.5,73.5,70.25
80.0,80.0,80.0
80.0,80.0,80.0
76.5,80.0,80.0
77.75,75.75,64.0
78.0,77.75,78.75
80.0,80.0,78.0
73.75,76.25,76.25
80.0,80.0,80.0
64.0,66.5,69.0
62.75,58.0,52.75
56.25,57.0,60.0
77.75,79.0,76.5
11.0,11.0,28.0
80.0,80.0,70.5
63.0,72.25,63.0
80.0,80.0,71.25
80.0,79.75,80.0
77.25,78.25,80.0
80.0,74.0,80.0
75.5,75.5,78.75
55.25,59.25,59.25
79.0,83.75,83.75
80.0,80.0,60.0
80.0,80.0,80.0
47.5,57.5,57.5
80.0,80.0,80.0
68.0,63.0,63.0
79.5,78.0,76.75
80.0,80.0,80.0
80.0,80.0,80.0
62.25,61.5,59.0
78.75,79.0,76.5
71.75,71.75,72.5
80.0,80.0,80.0
80.0,80.0,80.0
80.0,80.0,61.75
73.5,73.75,68.25
80.0,80.0,76.5
79.75,76.25,75.25
58.0,87.0,74.75
71.25,79.0,76.5
80.0,80.0,80.0
80.0,76.0,76.0
79.25,70.25,70.25
77.75,75.75,63.75
78.25,80.0,80.0
80.0,80.0,80.0
77.0,77.0,63.0
57.5,71.25,80.5
21.0,26.0,26.0
72.5,66.5,72.25
66.75,62.5,61.5
38.0,42.75,47.25
79.0,80.0,80.0
69.25,75.25,79.0
75.5,76.0,73.75
73.75,72.0,71.25
62.0,74.25,74.25
60.5,46.0,70.0
80.0,75.0,78.0
79.5,78.0,79.5
79.25,70.25,70.25
57.0,62.0,60.5
80.0,80.0,80.0
75.25,75.25,63.5
80.0,80.0,71.75
68.5,68.25,74.75
56.25,56.25,73.25
81.0,79.75,78.5
74.0,51.5,77.0
82.5,74.25,71.5
40.0,67.0,80.0
80.0,77.0,68.0
79.75,60.5,80.0
80.0,79.5,75.0
75.0,73.5,73.25
44.0,79.0,70.5
77.75,79.25,80.0
79.5,79.5,78.5
80.0,80.0,80.0
77.0,74.75,74.75
79.25,78.5,74.25
80.0,80.0,80.0
69.5,75.75,73.75
75.25,71.25,79.0
