LastPayDex,PayDex2,PayDex4
60.5,80.0,76.75
45.75,45.5,64.5
74.5,75.5,73.5
64.5,61.5,64.75
80.0,79.25,80.0
80.0,80.0,80.0
80.0,80.0,80.0
64.75,62.75,62.75
56.75,59.75,66.0
77.75,80.0,67.25
62.25,64.5,70.75
78.25,80.0,80.0
64.75,80.0,79.75
72.25,59.0,69.75
65.5,60.0,60.5
57.0,76.0,78.0
44.75,56.25,58.75
71.0,79.75,72.5
80.25,79.25,73.75
68.25,68.0,73.5
69.25,79.75,77.0
74.0,72.25,80.25
50.0,50.0,50.0
57.5,71.25,80.5
76.0,79.0,76.5
80.0,80.0,80.0
79.75,78.5,78.0
79.0,80.0,80.0
31.0,47.0,70.0
80.0,80.0,80.0
76.75,81.75,79.0
72.75,66.25,67.75
80.0,80.0,80.0
66.25,66.25,73.0
81.0,80.75,81.5
55.0,55.0,61.25
63.0,79.0,79.0
73.0,60.25,72.75
45.75,45.5,66.0
78.25,79.0,73.5
73.25,61.5,64.75
20.0,71.25,80.5
2.0,80.0,74.0
79.75,78.5,78.0
67.25,78.5,71.75
80.0,65.75,73.0
47.75,57.5,57.5
73.25,73.25,78.75
80.0,80.0,50.0
75.25,75.25,63.5
68.0,74.0,74.0
78.25,77.5,77.5
80.0,80.0,80.0
70.5,71.25,75.75
80.0,80.0,78.75
78.25,79.5,80.0
71.25,77.5,77.5
79.25,78.5,74.25
80.0,80.0,80.0
72.75,68.0,73.0
63.5,64.25,68.25
80.0,80.0,79.0
79.0,80.0,80.0
80.0,80.0,80.0
73.0,77.0,76.0
80.0,80.0,71.25
80.0,80.0,74.25
74.0,76.0,73.75
79.0,79.0,79.5
69.0,69.0,78.75
73.25,72.75,79.75
67.25,78.5,71.75
75.75,79.5,78.75
75.75,80.0,73.75
56.0,56.75,60.75
76.5,79.75,75.0
78.5,73.25,74.0
66.5,69.0,69.0
80.0,80.0,52.0
76.0,81.0,74.75
62.25,61.5,59.0
58.25,58.75,58.5
77.0,71.0,74.0
77.5,79.25,80.0
65.0,49.5,78.25
74.5,80.0,77.0
61.5,61.5,46.0
80.0,80.0,29.0
79.0,77.75,70.75
80.0,80.0,80.0
71.5,70.0,73.5
74.5,78.25,64.0
78.25,79.0,77.75
76.0,79.0,76.5
74.0,77.0,77.75
73.75,72.25,80.25
72.75,75.75,74.75
61.5,61.0,61.0
78.5,79.75,73.75
66.0,65.75,76.75
70.0,74.25,75.25
76.75,79.75,80.5
