DunsNumber,TradeName,State,Officer,Title,Area,Phone,HQDuns,HQTradeName,HQOfficer,HQTitle,Latitude,Emp90,Emp14,Emp15,EmpC15,EmpHere,EmpHereC,SIC2,SIC8_2,SIC8_3,SIC8_4,SIC8_5,SIC90,Industry,IndustryGroup,OutofBis,YearStart,SalesHereC,SalesGrowth,MoveYears,MoveSIC4,OriginCity,OriginState,OriginZIP,DestCity,DestState,MoveEmp,EmpC,MoveSales,LegalStat,GenderCEO,WomenOwned,FirstYear,LastYear,CBSA_First,PayDex2,PayDex3,PayDex4,PayDex5,PayDex6,PayDex7,PayDex8,PayDex9,PayDex10,PayDex11,PayDex12,PayDex13,PayDex14,PayDex15,PayDex16,PayDex17,PayDex18,PayDex19,PayDex20,PayDex21,F1,F2,F3,F4,F5,F6,F7,F8,DnB1,DnB2,DnB3,DnB5,DnB6,DnB7,DnB8,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
130844462.0,0.0,1.0,1753.0,19.0,29.0,1582.0,130844462.0,0.0,1753.0,20.0,34.4726,35.0,2.25,2.25,0.0,35.0,3.0,22.0,13250102.5,33787579.0,41862605.0,59837508.25,22510000.0,947.0,114.0,0.0,54.0,3.0,4.0,15.75,2908.0,98.0,23.25,25218.5,61.25,21.75,2.25,0.0,231616.75,0.0,0.0,0.0,1989.0,2013.0,22840.0,80.0,70.75,76.75,69.5,76.75,69.5,77.5,70.75,76.5,66.5,79.5,76.0,79.75,74.5,79.25,75.0,78.5,64.25,80.0,65.25,23812.0,23812.0,23812.0,23812.0,23812.0,23812.0,23812.0,23812.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,1.5,1.5
848175027.0,0.0,44.0,844.0,31.0,241.0,497.0,848175027.0,0.0,856.0,30.0,33.3316,2.25,1.0,1.0,0.0,1.0,0.0,1.0,2110000.0,51875176.0,44950126.5,59837508.25,63190052.0,156.0,30.0,0.0,80.0,3.0,2.0,12.5,5863.75,135.75,23.25,51622.0,95.0,24.25,3.0,1.25,562500.0,0.0,3.0,0.0,2008.0,2015.0,19124.0,80.0,78.0,80.0,74.0,80.0,74.0,80.0,78.0,79.0,74.25,79.25,73.75,79.0,76.75,79.25,75.25,78.75,77.5,79.5,76.5,36364.0,36364.0,36364.0,36364.0,48121.0,48121.0,48121.0,48121.0,30.0,30.0,29.0,25.0,21.0,12.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
808138473.0,316.0,26.0,1236.0,29.0,69.0,140.0,200508294.0,136.25,1148.25,18.0,45.7933,14.75,21.5,21.5,1.0,4.0,2.0,59.0,43062784.75,52582476.5,56112676.25,59837508.25,53405000.0,282.0,57.0,0.0,0.0,3.0,1.0,29.5,4510.5,80.75,11.5,59828.25,121.0,12.0,11.0,0.0,1416700.0,0.0,2.0,0.0,1993.0,2005.0,13740.0,79.0,69.0,79.25,77.5,77.5,62.25,70.25,67.25,74.0,49.5,73.0,58.5,76.5,72.0,57.75,50.25,79.0,67.25,79.25,73.75,19541.5,19541.5,19541.5,25781.5,25781.5,25781.5,25781.5,18015.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
62685713.0,0.0,46.0,907.0,31.0,152.0,678.0,62685713.0,0.0,916.0,30.0,38.835,1.75,3.0,3.0,0.0,3.0,0.0,80.0,62072528.25,70462476.25,38120080.25,59837508.25,79792856.5,428.0,98.0,0.0,84.0,3.0,2.0,58.0,8099.0,44.0,38.0,22031.0,29.0,39.0,3.0,2.0,183300.0,0.0,3.0,0.0,2012.0,2015.0,47894.0,56.25,50.25,77.0,57.25,57.25,53.0,77.0,58.75,76.25,66.75,69.25,64.5,80.75,73.5,79.75,77.75,80.5,74.0,75.25,68.5,34585.5,37336.0,37336.0,37336.0,37336.0,37336.0,37336.0,30310.5,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2094198.0,0.0,9.0,1228.0,31.0,0.0,0.0,2094198.0,0.0,1235.0,30.0,28.0265,4.0,2.0,2.0,2.0,2.0,2.0,73.0,62112851.75,58382975.5,60442577.5,59837508.25,64838230.75,124.0,153.0,0.0,82.0,3.0,2.0,46.75,7541.5,57.25,5.5,58815.5,73.0,6.0,1.75,2.25,102000.0,0.0,3.0,0.0,2010.0,2015.0,45300.0,73.25,73.25,80.0,79.5,79.75,77.75,80.0,79.5,80.0,79.75,78.5,76.0,79.0,78.25,79.0,78.25,78.5,73.0,75.75,63.25,21610.0,21610.0,21610.0,21610.0,11532.5,15570.0,15570.0,17294.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
29894379.0,0.0,44.0,451.0,26.0,250.0,551.0,29894379.0,0.0,453.0,26.0,33.0355,39.0,1.5,1.0,3.0,1.0,3.0,87.0,64825102.75,66815051.5,53467556.5,59837508.25,81855075.5,132.0,130.0,0.0,86.0,3.0,2.0,35.25,8374.0,119.0,6.5,49618.5,126.5,7.25,3.5,1.25,255450.0,0.0,0.0,0.0,2014.0,2015.0,19124.0,76.0,75.5,73.75,66.0,80.0,80.0,74.5,69.75,78.75,73.25,78.5,76.75,78.25,77.25,80.0,76.75,80.0,78.5,76.25,75.5,22772.0,18271.5,28790.5,28790.5,26027.5,26027.5,33525.0,30799.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,3.0,3.0,3.0,3.0,2.25,2.25,3.0,3.0,3.0
47551251.0,0.0,17.0,726.0,30.0,33.0,370.0,47551251.0,0.0,738.0,29.0,36.8522,42.25,2.0,2.0,0.0,2.0,0.0,80.0,70090000.0,70462476.25,47970131.25,59837508.25,77787713.0,580.0,98.0,0.0,83.0,3.0,1.0,24.25,7790.0,112.5,11.75,45552.75,128.0,12.75,5.75,0.5,502523.5,3.0,1.0,0.0,2011.0,2015.0,17300.0,80.0,80.0,70.5,54.25,72.25,58.75,78.5,72.5,77.5,65.0,77.0,72.5,77.25,72.75,78.25,70.75,80.0,73.75,76.25,72.25,24038.75,24038.75,24038.75,24038.75,24038.75,24038.75,24038.75,21047.0,30.0,30.0,29.0,25.0,21.0,20.0,0.0,2.25,2.25,2.25,2.25,2.25,2.25,3.0,3.0,3.0,3.0
34402516.0,271.0,3.0,607.0,31.0,0.0,0.0,34402516.0,251.0,616.0,30.0,33.5311,75.75,2.0,5.75,0.0,1.0,0.0,89.0,62480127.0,66309976.0,53467556.5,59837508.25,79389982.75,738.0,229.0,0.0,73.0,3.0,4.0,28.0,8999.0,121.0,2.0,85253.0,132.0,2.0,1.0,3.0,50000.0,0.0,3.0,0.0,2001.0,2011.0,38060.0,80.0,73.0,66.5,58.75,80.0,80.0,79.25,79.25,78.75,73.25,80.0,79.0,78.25,77.25,80.0,77.0,80.0,75.75,78.0,75.0,18768.5,4013.0,4013.0,4013.0,4013.0,4013.0,4013.0,4013.0,30.0,30.0,29.0,16.0,13.0,12.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
46196127.5,0.0,25.5,456.75,23.25,148.0,829.75,46196127.5,0.0,462.75,22.5,36.543375,9738.0,11366.0,10858.0,1118.0,6.25,3.0,99.0,47885151.5,33015177.75,55525130.0,59837508.25,51075077.5,286.0,176.0,0.0,86.0,3.0,2.0,2.25,6666.5,82.0,23.5,32933.25,72.25,24.5,2.5,2.0,190425.0,0.0,0.0,0.0,2014.0,2015.0,32594.75,75.75,71.75,67.0,53.5,75.75,67.75,79.0,74.25,75.25,68.5,75.25,70.0,71.75,65.0,79.0,63.75,77.75,72.75,79.0,71.25,24820.5,17323.0,37803.5,37803.5,27539.5,38290.0,38290.0,38290.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,2.25,2.25,2.25,1.0,1.5,2.25,2.25,3.0,3.0
622768146.0,0.0,48.0,0.0,0.0,0.0,0.0,622768146.0,0.0,0.0,0.0,46.2462,4.25,3.5,3.25,1.5,1.0,2.0,78.0,69285027.0,51107576.0,44950126.5,59837508.25,76850180.25,615.0,169.0,0.0,0.0,3.0,2.0,41.25,7384.5,106.0,14.5,24851.75,52.5,12.0,1.75,1.75,227000.0,0.0,0.0,0.0,2006.0,2009.0,49420.0,78.25,72.5,78.25,76.75,79.5,78.75,74.25,68.0,70.25,65.75,73.25,63.75,70.25,65.75,70.25,67.5,74.25,69.0,74.25,70.5,9535.5,14539.0,17294.5,11311.5,11311.5,10326.0,10326.0,10326.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5260627.0,0.0,38.0,1707.0,31.0,74.0,979.0,5260627.0,0.0,1710.0,30.0,40.434,12.0,2.0,2.0,2.0,2.0,2.0,70.0,57512751.25,58382975.5,60442577.5,59837508.25,62048155.75,456.0,105.0,0.0,82.0,3.0,1.0,49.25,7349.5,64.5,5.5,58870.75,83.25,6.0,2.0,2.25,102000.0,0.0,3.0,0.0,2010.0,2015.0,38300.0,80.0,80.0,80.0,79.5,79.75,79.5,79.5,76.25,77.0,75.75,78.5,76.0,80.75,78.25,80.75,78.25,78.5,73.0,75.75,72.0,19548.0,19548.0,25797.5,25797.5,14534.5,19809.5,16822.0,22569.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,3.0,2.25,2.25,3.0,3.0,3.0,3.0,3.0,3.0
781518993.0,0.0,9.0,444.0,31.0,61.0,759.0,781518993.0,0.0,446.0,30.0,29.4893,2.0,1.0,1.0,0.0,1.0,0.0,73.0,54470052.5,51175100.25,44950126.5,59837508.25,71307500.0,124.0,153.0,0.0,78.0,3.0,2.0,18.5,7893.0,90.25,13.25,67946.0,89.25,13.75,5.75,0.75,303175.0,0.0,3.0,0.0,2006.0,2015.0,12999.0,42.0,38.5,41.75,34.75,53.75,50.25,60.5,57.5,60.25,55.75,75.0,58.75,77.25,74.75,77.0,74.25,76.0,73.25,78.25,74.5,15032.0,15029.0,19044.5,19044.5,27568.5,26069.0,26069.0,24359.5,30.0,30.0,29.0,25.0,21.0,20.0,15.0,1.5,1.5,2.25,3.0,2.25,2.25,2.25,2.25,2.75,2.75
193529042.0,0.0,5.0,0.0,0.0,0.0,0.0,193529042.0,0.0,0.0,0.0,39.5999,3.25,1.75,1.5,1.0,1.0,2.0,73.0,62670325.25,71942654.75,41862605.0,59837508.25,74622600.25,133.0,153.0,0.0,0.0,3.0,2.0,29.5,7307.5,83.25,12.0,55043.25,87.25,13.0,1.75,1.0,108950.0,0.0,0.0,0.0,2005.0,2006.0,19740.0,80.0,78.25,79.0,79.0,79.75,77.0,78.25,77.5,77.25,74.0,77.75,68.0,79.75,77.75,80.0,76.5,79.75,69.25,79.75,75.0,33837.5,25839.0,25839.0,10831.0,10828.5,9559.0,9559.0,9559.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,1.5,2.25,2.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0
12398512.0,0.0,20.0,0.0,0.0,0.0,0.0,12398512.0,0.0,0.0,0.0,38.9848,3.25,3.75,3.75,2.5,2.0,2.0,81.0,72942701.75,49680475.5,62270006.25,59837508.25,80302776.5,393.0,118.0,0.0,0.0,3.0,2.0,35.5,7597.0,79.0,3.0,92410.0,148.75,12.75,2.25,1.75,155125.0,0.0,0.0,0.0,2002.0,2005.0,43524.0,55.75,42.5,58.0,44.5,51.75,28.25,49.75,36.5,76.5,63.5,68.25,63.75,68.25,62.0,80.0,79.0,80.0,79.5,77.0,65.75,30109.0,30109.0,30109.0,30109.0,30109.0,25300.5,32792.5,24039.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,3.0,3.0,2.25,2.25,2.25,2.25,2.25,2.25,2.25
