DunsNumber,TradeName,State,Officer,Title,Area,Phone,HQDuns,HQTradeName,HQOfficer,HQTitle,Latitude,Emp90,Emp14,Emp15,EmpC15,EmpHere,EmpHereC,SIC2,SIC8_2,SIC8_3,SIC8_4,SIC8_5,SIC90,Industry,IndustryGroup,OutofBis,YearStart,SalesHereC,SalesGrowth,MoveYears,MoveSIC4,OriginCity,OriginState,OriginZIP,DestCity,DestState,MoveEmp,EmpC,MoveSales,LegalStat,GenderCEO,WomenOwned,FirstYear,LastYear,CBSA_First,PayDex2,PayDex3,PayDex4,PayDex5,PayDex6,PayDex7,PayDex8,PayDex9,PayDex10,PayDex11,PayDex12,PayDex13,PayDex14,PayDex15,PayDex16,PayDex17,PayDex18,PayDex19,PayDex20,PayDex21,F1,F2,F3,F4,F5,F6,F7,F8,DnB1,DnB2,DnB3,DnB5,DnB6,DnB7,DnB8,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
9500422.0,0.0,48.0,27.0,30.0,5.0,803.0,9500422.0,0.0,28.0,29.0,47.7149,3.0,2.5,2.25,0.5,3.0,0.0,15.0,15319904.0,22982500.0,46922530.0,59837508.25,15220107.0,631.0,216.0,0.0,28.0,2.0,4.0,34.5,2318.5,83.0,20.75,47181.5,77.25,23.5,9.5,0.5,1009070.25,3.0,2.0,1.0,1989.0,2011.0,42644.0,66.5,60.75,66.5,66.5,59.5,55.75,52.25,46.0,73.25,63.5,79.25,75.0,76.75,73.25,77.5,75.25,80.75,74.25,80.75,75.5,53033.0,53033.0,53033.0,53033.0,53033.0,53033.0,53033.0,53033.0,23.75,23.0,20.0,17.0,17.25,16.25,10.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
38749650.0,0.0,1.0,1123.0,31.0,4.0,1255.0,38749650.0,0.0,1137.0,30.0,33.493,39.75,3.0,3.0,0.0,3.0,0.0,80.0,58047552.75,71725025.0,47970131.25,59837508.25,73969933.25,646.0,180.0,0.0,82.0,3.0,1.0,31.75,8048.0,95.75,17.75,51305.5,101.5,18.75,3.75,0.5,303700.0,0.0,0.0,0.0,2010.0,2015.0,13820.0,76.0,60.25,76.25,70.25,78.75,74.5,75.25,70.25,64.5,58.5,77.5,74.5,77.25,73.25,78.5,72.0,82.25,75.5,80.25,75.5,21543.5,21543.5,21543.5,21543.5,20310.0,20310.0,20310.0,20310.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
966513640.0,0.0,4.0,416.0,30.0,0.0,0.0,966513640.0,0.0,419.0,29.0,33.7833,2.75,5.0,5.0,0.0,2.0,2.0,87.0,73167576.25,42492600.25,39232530.5,59837508.25,78452727.0,218.0,67.0,0.0,0.0,3.0,2.0,35.0,7150.5,42.75,26.5,68347.75,63.5,27.25,3.75,0.75,300650.0,0.0,0.0,0.0,1997.0,2009.0,31084.0,73.75,61.25,79.75,74.25,78.75,72.25,74.0,57.75,78.5,77.25,61.25,57.5,66.0,56.75,66.0,64.5,79.75,79.5,72.5,67.5,45104.5,45104.5,45104.5,45104.5,45104.5,45104.5,36343.0,34438.25,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.25,1.5,2.25
58928933.0,23.0,11.0,994.0,26.0,0.0,0.0,58928933.0,21.0,999.0,26.0,21.2901,14.25,11.5,11.5,1.25,6.0,0.0,56.0,61987778.25,62412777.25,35740080.25,59837508.25,55865276.5,263.0,143.0,0.0,72.0,3.0,2.0,41.75,5740.75,125.0,26.0,40962.25,81.75,27.0,2.0,1.0,127925.0,0.0,2.0,1.0,2000.0,2009.0,46520.0,74.25,67.25,64.5,60.25,70.75,61.0,76.25,68.25,74.5,62.5,71.0,63.25,78.5,68.5,78.75,72.0,74.5,66.25,73.75,65.5,32565.0,32565.0,38567.5,38567.5,38567.5,38567.5,33102.5,24087.5,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,2.25,2.25,3.0,2.25,1.75,2.25,2.5,2.5,2.5
195353763.0,0.0,5.0,1063.0,24.0,0.0,0.0,195353763.0,0.0,1073.0,25.0,39.6894,2.5,2.0,2.0,2.0,2.0,2.0,73.0,60040325.25,75745054.75,41862605.0,59837508.25,73620050.25,124.0,153.0,0.0,77.0,3.0,2.0,19.25,7297.5,89.5,8.0,63398.5,74.0,8.75,4.0,0.5,121100.0,0.0,3.0,0.0,2005.0,2015.0,19740.0,80.0,78.25,79.0,79.0,79.75,77.0,78.25,77.5,77.25,74.0,77.75,68.0,79.75,77.75,80.0,76.5,79.75,69.25,79.75,75.0,26584.5,8059.0,8059.0,8059.0,8059.0,8059.0,8059.0,8059.0,30.0,30.0,29.0,22.75,19.0,18.0,13.0,2.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
47765925.0,0.0,4.0,1451.0,26.0,236.0,1564.0,47765925.0,0.0,1454.0,26.0,37.8211,45.5,1.75,1.75,1.5,1.0,0.0,73.0,71292500.0,70462476.25,47970131.25,59837508.25,73662707.75,480.0,153.0,0.0,69.0,3.0,4.0,39.75,6974.5,102.0,16.25,41546.0,81.0,17.25,2.5,1.5,291898.5,1.0,2.0,1.0,1997.0,2013.0,36084.0,80.0,80.0,80.0,80.0,80.0,80.0,78.5,71.25,77.0,69.25,77.0,71.25,76.75,70.5,78.5,69.75,80.0,73.75,76.25,74.0,6013.0,6013.0,6013.0,6013.0,6013.0,6013.0,6013.0,6013.0,22.0,21.0,19.0,16.0,13.0,12.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
38695982.0,0.0,17.0,0.0,0.0,212.0,963.0,38695982.0,0.0,0.0,0.0,39.0872,9.5,2.25,2.0,1.25,3.0,3.0,59.0,60705050.5,62607501.0,47970131.25,59837508.25,58765151.25,686.0,220.0,0.0,0.0,3.0,2.0,24.5,5980.25,93.75,21.5,70657.0,94.25,22.5,4.5,0.5,294823.5,0.0,0.0,0.0,2001.0,2002.0,17140.0,79.25,78.0,81.5,80.25,80.0,78.0,82.0,74.25,78.5,77.75,77.0,73.5,79.75,75.75,76.75,56.5,72.5,71.25,73.0,65.75,33831.0,33831.0,33831.0,33831.0,29805.5,29805.5,23571.5,23571.5,30.0,30.0,29.0,25.0,21.0,20.0,15.0,3.0,3.0,3.0,3.0,2.25,2.25,2.75,2.75,2.75,2.75
65315461.0,0.0,4.0,106.0,31.0,155.0,1466.0,65315461.0,0.0,110.0,30.0,38.2341,12.75,7.0,7.0,0.0,7.0,0.0,58.0,58120310.0,57142777.25,34317580.25,59837508.25,56235176.0,86.0,60.0,0.0,84.0,3.0,2.0,30.75,5740.75,119.25,24.5,52158.5,107.5,25.25,2.5,0.5,157350.0,3.0,2.0,0.0,2012.0,2015.0,42220.0,80.0,64.0,80.0,80.0,75.75,68.75,76.5,73.25,75.25,63.25,73.75,69.25,79.25,73.0,78.5,75.5,74.5,69.25,72.25,60.25,31787.5,31787.5,35802.0,35802.0,35802.0,35802.0,40575.0,43553.5,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,1.5,1.5,2.25,2.25,2.25,2.75,2.75,3.0,3.0
7514697.0,0.0,35.0,428.0,31.0,130.0,1501.0,7514697.0,0.0,429.0,30.0,40.0726,4.0,2.0,2.0,2.0,2.0,2.0,73.0,62112851.75,58382975.5,60442577.5,59837508.25,64838230.75,124.0,153.0,0.0,85.0,3.0,2.0,49.25,7349.5,64.5,5.5,58870.75,83.25,6.0,2.0,2.25,102000.0,0.0,0.0,0.0,2013.0,2015.0,18140.0,80.0,80.0,80.0,79.5,79.75,79.5,79.75,79.0,80.0,79.5,80.0,79.25,79.0,78.25,79.0,78.25,78.5,73.0,75.75,63.25,37819.5,37819.5,37819.5,37819.5,16782.0,15575.0,16827.0,16827.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,2.25,2.25,2.25,2.25,3.0,3.0,2.25,2.25,2.25
92310619.0,0.0,46.0,582.0,26.0,0.0,0.0,92310619.0,0.0,589.0,26.0,36.6214,2.5,2.75,2.25,2.75,1.0,0.0,17.0,47887525.0,34065102.75,41862605.0,59837508.25,22622453.5,667.0,186.0,0.0,69.0,3.0,4.0,22.25,2436.0,121.5,13.0,63103.25,89.25,13.0,4.25,0.5,185425.0,1.0,3.0,0.0,1997.0,2009.0,19260.0,63.25,60.25,74.25,65.25,56.75,42.5,59.0,50.0,79.0,64.75,72.5,62.75,79.75,79.25,79.0,71.75,73.25,65.25,79.25,62.75,27029.5,27029.5,27029.5,27029.5,27029.5,20047.5,19532.0,19532.0,30.0,30.0,29.0,25.0,21.0,20.0,15.0,2.25,2.25,2.25,2.25,2.25,1.75,2.5,2.25,2.25,3.0
