DunsNumber,Company,TradeName,Address,City,State,ZipCode,ZIP4,Officer,Title,Area,Phone,Region,HQDuns,HQCompany,HQTradeName,HQAddress,HQCity,HQState,HQZipCode,HQZIP4,HQOfficer,HQTitle,HQArea,HQPhone,Subsidiary,Related,Kids,CBSA,FipsCounty,CityCode,Latitude,Longitude,LevelCode,EstCat,Emp90,EmpC90,Emp91,EmpC91,Emp92,EmpC92,Emp93,EmpC93,Emp94,EmpC94,Emp95,EmpC95,Emp96,EmpC96,Emp97,EmpC97,Emp98,EmpC98,Emp99,EmpC99,Emp00,EmpC00,Emp01,EmpC01,Emp02,EmpC02,Emp03,EmpC03,Emp04,EmpC04,Emp05,EmpC05,Emp06,EmpC06,Emp07,EmpC07,Emp08,EmpC08,Emp09,EmpC09,Emp10,EmpC10,Emp11,EmpC11,Emp12,EmpC12,Emp13,EmpC13,Emp14,EmpC14,Emp15,EmpC15,EmpHere,EmpHereC,SizeCat,SIC2,SIC3,SIC4,SIC6,SIC8,SIC8_2,SIC8_3,SIC8_4,SIC8_5,SIC8_6,SICChange,SIC90,SIC91,SIC92,SIC93,SIC94,SIC95,SIC96,SIC97,SIC98,SIC99,SIC00,SIC01,SIC02,SIC03,SIC04,SIC05,SIC06,SIC07,SIC08,SIC09,SIC10,SIC11,SIC12,SIC13,SIC14,SIC15,Industry,IndustryGroup,HQDuns90,HQDuns91,HQDuns92,HQDuns93,HQDuns94,HQDuns95,HQDuns96,HQDuns97,HQDuns98,HQDuns99,HQDuns00,HQDuns01,HQDuns02,HQDuns03,HQDuns04,HQDuns05,HQDuns06,HQDuns07,HQDuns08,HQDuns09,HQDuns10,HQDuns11,HQDuns12,HQDuns13,HQDuns14,HQDuns15,HQDunsChange,FIPS90,FIPS91,FIPS92,FIPS93,FIPS94,FIPS95,FIPS96,FIPS97,FIPS98,FIPS99,FIPS00,FIPS01,FIPS02,FIPS03,FIPS04,FIPS05,FIPS06,FIPS07,FIPS08,FIPS09,FIPS10,FIPS11,FIPS12,FIPS13,FIPS14,FIPS15,FipsChange,OutofBis,YearStart,PayDexMin90,PayDexMax90,PayDexMin91,PayDexMax91,PayDexMin92,PayDexMax92,PayDexMin93,PayDexMax93,PayDexMin94,PayDexMax94,PayDexMin95,PayDexMax95,PayDexMin96,PayDexMax96,PayDexMin97,PayDexMax97,PayDexMin98,PayDexMax98,PayDexMin99,PayDexMax99,PayDexMin00,PayDexMax00,PayDexMin01,PayDexMax01,PayDexMin02,PayDexMax02,PayDexMin03,PayDexMax03,PayDexMin04,PayDexMax04,PayDexMin05,PayDexMax05,PayDexMin06,PayDexMax06,PayDexMin07,PayDexMax07,PayDexMin08,PayDexMax08,PayDexMin09,PayDexMax09,PayDexMin10,PayDexMax10,PayDexMin11,PayDexMax11,PayDexMin12,PayDexMax12,PayDexMin13,PayDexMax13,PayDexMin14,PayDexMax14,PayDexMin15,PayDexMax15,DnBRating90,DnBRating91,DnBRating92,DnBRating93,DnBRating94,DnBRating95,DnBRating96,DnBRating97,DnBRating98,DnBRating99,DnBRating00,DnBRating01,DnBRating02,DnBRating03,DnBRating04,DnBRating05,DnBRating06,DnBRating07,DnBRating08,DnBRating09,DnBRating10,DnBRating11,DnBRating12,DnBRating13,DnBRating14,DnBRating15,Sales90,SalesC90,Sales91,SalesC91,Sales92,SalesC92,Sales93,SalesC93,Sales94,SalesC94,Sales95,SalesC95,Sales96,SalesC96,Sales97,SalesC97,Sales98,SalesC98,Sales99,SalesC99,Sales00,SalesC00,Sales01,SalesC01,Sales02,SalesC02,Sales03,SalesC03,Sales04,SalesC04,Sales05,SalesC05,Sales06,SalesC06,Sales07,SalesC07,Sales08,SalesC08,Sales09,SalesC09,Sales10,SalesC10,Sales11,SalesC11,Sales12,SalesC12,Sales13,SalesC13,Sales14,SalesC14,Sales15,SalesC15,SalesHere,SalesHereC,SalesGrowth,SalesGrowthPeer,MoveYears,LastMove,MoveSIC4,OriginCity,OriginState,OriginZIP,DestCity,DestState,DestZIP,MoveEmp,EmpC,MoveSales,MoveSalesC,PubPriv,LegalStat,ForeignOwn,ImpExpInd,GovtContra,Minority,GenderCEO,WomenOwned,Relocate,MoveOften,Cottage,FirstYear,LastYear,Address_First,City_First,State_First,ZipCode_First,CBSA_First,FipsCounty_First,CityCode_First,DunsNumber.1,LastPayDex,PayDex1,PayDex2,PayDex3,PayDex4,PayDex5,PayDex6,PayDex7,PayDex8,PayDex9,PayDex10,PayDex11,PayDex12,PayDex13,PayDex14,PayDex15,PayDex16,PayDex17,PayDex18,PayDex19,PayDex20,PayDex21,UltimoAnnoUtile,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,DnB1,DnB2,DnB3,DnB4,DnB5,DnB6,DnB7,DnB8,DnB9,DnB10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
1289172.0,1722.0,0.0,614.0,1148.0,34.0,11385.0,5742.0,0.0,0.0,163.0,482.0,335.0,184704815.0,1712.0,0.0,614.0,1134.0,34.0,11385.0,5742.0,1107.0,29.0,164.0,478.0,1.0,1.0,0.0,35614.0,36081.0,366109.0,40.6947,73.9013,1.0,2.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,2.0,22.0,225.0,2257.0,225799.0,22579903.0,,,,,,0.0,22570000.0,22570000.0,22579903.0,22579903.0,22579903.0,22579903.0,22579903.0,22579903.0,22579903.0,22579903.0,22579903.0,,,,,,,,,,,,,,,,703.0,114.0,1289172.0,184704815.0,184704815.0,184704815.0,184704815.0,184704815.0,184704815.0,184704815.0,184704815.0,184704815.0,184704815.0,,,,,,,,,,,,,,,,1.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,,,,,,,,,,,,,,,,0.0,0.0,22.0,77.0,78.0,79.0,79.0,79.0,80.0,70.0,80.0,67.0,67.0,68.0,76.0,68.0,80.0,79.0,80.0,78.0,79.0,78.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000.0,0.0,1600000.0,0.0,1600000.0,0.0,1600000.0,0.0,1800000.0,0.0,1800000.0,0.0,1800000.0,0.0,1800000.0,0.0,1821800.0,3.0,1800000.0,3.0,1863000.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863000.0,3.0,2.0,2.0,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.0,2000.0,601.0,1152.0,34.0,11385.0,35614.0,36081.0,366109.0,1289172.0,78.0,78.0,79.0,78.0,80.0,79.0,80.0,68.0,76.0,68.0,67.0,67.0,80.0,70.0,80.0,79.0,79.0,79.0,78.0,77.0,,,99.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
1825855.0,2436.0,0.0,2548.0,1488.0,30.0,3086.0,5929.0,1042.0,26.0,122.0,1117.0,282.0,1825855.0,2417.0,0.0,2530.0,1467.0,30.0,3086.0,5929.0,1050.0,26.0,123.0,1117.0,0.0,0.0,0.0,31700.0,33011.0,339668.0,42.8349,71.7443,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,76.0,769.0,7699.0,769914.0,76991402.0,,,,,,0.0,,,,,,,,,,,76991402.0,76991402.0,76991402.0,76991402.0,76991402.0,76991402.0,76991402.0,76991402.0,,,,,,,,,899.0,162.0,,,,,,,,,,,1825855.0,1825855.0,1825855.0,1825855.0,1825855.0,1825855.0,1825855.0,1825855.0,,,,,,,,,0.0,,,,,,,,,,,33011.0,33011.0,33011.0,33011.0,33011.0,33011.0,33011.0,33011.0,,,,,,,,,0.0,0.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,16.0,16.0,15.0,14.0,13.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68800.0,3.0,66700.0,3.0,66700.0,3.0,74500.0,3.0,66700.0,3.0,62500.0,3.0,60000.0,3.0,58300.0,3.0,,,,,,,,,,,,,,,,,58300.0,3.0,4.0,4.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1999.0,2007.0,2487.0,1493.0,30.0,3086.0,31700.0,33011.0,339668.0,1825855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
2040529.0,466.0,0.0,618.0,1391.0,34.0,11581.0,1305.0,0.0,0.0,0.0,0.0,325.0,2040529.0,465.0,0.0,618.0,1374.0,34.0,11581.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35004.0,36059.0,367466.0,40.6568,73.6968,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,87.0,874.0,8741.0,874100.0,87410000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,87410000.0,87410000.0,87410000.0,87410000.0,557.0,130.0,,,,,,,,,,,,,,,,,,,,,,,2040529.0,2040529.0,2040529.0,2040529.0,0.0,,,,,,,,,,,,,,,,,,,,,,,36059.0,36059.0,36059.0,36059.0,0.0,0.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000.0,3.0,133300.0,3.0,134000.0,3.0,140000.0,3.0,140000.0,3.0,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2015.0,605.0,1395.0,34.0,11581.0,35004.0,36059.0,367466.0,2040529.0,80.0,65.0,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,36059.0,36059.0,36059.0,,,,,,,,,,9.0,,,,,,,,3.0,3.0,3.0
2094196.0,2526.0,0.0,2592.0,1336.0,14.0,62568.0,0.0,585.0,12.0,15.0,1521.0,474.0,2094196.0,2504.0,0.0,2574.0,1322.0,14.0,62568.0,0.0,592.0,12.0,15.0,1518.0,0.0,0.0,0.0,45380.0,17021.0,178351.0,39.5887,89.4139,1.0,2.0,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,86.0,864.0,8641.0,864199.0,86419907.0,,,,,,0.0,,,,,,,,,86419907.0,86419907.0,86419907.0,86419907.0,86419907.0,,,,,,,,,,,,,,924.0,36.0,,,,,,,,,2094196.0,2094196.0,2094196.0,2094196.0,2094196.0,,,,,,,,,,,,,,0.0,,,,,,,,,17021.0,17021.0,17021.0,17021.0,17021.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,18.0,19.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0,3.0,30000.0,3.0,30000.0,3.0,34100.0,3.0,38200.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38200.0,3.0,1.0,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1997.0,2002.0,1646.0,1344.0,14.0,62568.0,45380.0,17021.0,178351.0,2094196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
2094198.0,2687.0,0.0,2509.0,362.0,9.0,33527.0,3758.0,1228.0,31.0,0.0,0.0,472.0,2094198.0,2668.0,0.0,2490.0,355.0,9.0,33527.0,3758.0,1235.0,30.0,0.0,0.0,0.0,0.0,0.0,45300.0,12057.0,122179.0,28.0265,82.2504,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,73.0,738.0,7389.0,738999.0,73899999.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,73899999.0,73899999.0,73899999.0,73899999.0,73899999.0,124.0,153.0,,,,,,,,,,,,,,,,,,,,,,2094198.0,2094198.0,2094198.0,2094198.0,2094198.0,0.0,,,,,,,,,,,,,,,,,,,,,,12057.0,12057.0,12057.0,12057.0,12057.0,0.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124000.0,3.0,120000.0,3.0,120000.0,3.0,120000.0,3.0,124000.0,3.0,124000.0,3.0,124000.0,3.0,2.0,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2010.0,2015.0,2447.0,364.0,9.0,33527.0,45300.0,12057.0,122179.0,2094198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
2255201.0,852.0,0.0,2276.0,955.0,34.0,10028.0,7911.0,561.0,26.0,0.0,0.0,335.0,2255201.0,845.0,0.0,2263.0,941.0,34.0,10028.0,7911.0,568.0,26.0,0.0,0.0,0.0,0.0,0.0,35614.0,36061.0,364997.0,40.7728,73.9462,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,3.0,2.0,0.0,80.0,801.0,8011.0,801100.0,80110000.0,,,,,,0.0,,,,,,,,,,,,80110000.0,80110000.0,80110000.0,80110000.0,80110000.0,80110000.0,80110000.0,80110000.0,80110000.0,,,,,,,646.0,180.0,,,,,,,,,,,,2255201.0,2255201.0,2255201.0,2255201.0,2255201.0,2255201.0,2255201.0,2255201.0,2255201.0,,,,,,,0.0,,,,,,,,,,,,36061.0,36061.0,36061.0,36061.0,36061.0,36061.0,36061.0,36061.0,36061.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,16.0,16.0,15.0,,13.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000.0,3.0,400000.0,3.0,400000.0,3.0,400000.0,3.0,333300.0,3.0,333300.0,3.0,333300.0,3.0,243000.0,3.0,243000.0,3.0,,,,,,,,,,,,,243000.0,3.0,4.0,4.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2000.0,2009.0,2229.0,960.0,34.0,10028.0,35614.0,36061.0,364997.0,2255201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
2684548.0,149.0,0.0,1728.0,670.0,24.0,64801.0,2099.0,0.0,0.0,78.0,1050.0,228.0,2684548.0,148.0,0.0,1719.0,661.0,24.0,64801.0,2099.0,0.0,0.0,78.0,1047.0,0.0,0.0,0.0,27900.0,29097.0,292642.0,37.0869,94.4995,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,1.0,2.0,0.0,76.0,769.0,7699.0,769900.0,76990000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,76990000.0,76990000.0,,,,,,,783.0,162.0,,,,,,,,,,,,,,,,,,,2684548.0,2684548.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,29097.0,29097.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,3.0,50000.0,3.0,,,,,,,,,,,,,50000.0,3.0,2.0,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2009.0,1707.0,670.0,24.0,64801.0,27900.0,29097.0,292642.0,2684548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
2738216.0,317.0,0.0,2137.0,140.0,19.0,2215.0,2013.0,959.0,31.0,133.0,600.0,59.0,2738216.0,316.0,0.0,2127.0,135.0,19.0,2215.0,2013.0,967.0,30.0,134.0,596.0,0.0,0.0,0.0,14454.0,25025.0,250894.0,42.3492,71.0954,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,,,,,3.0,2.0,0.0,48.0,481.0,4812.0,481299.0,48129901.0,50650100.0,58120000.0,,,,0.0,,,,,,,,,,,,,,,,,,,48129901.0,48129901.0,48129901.0,48129901.0,48129901.0,48129901.0,,,153.0,237.0,,,,,,,,,,,,,,,,,,,2738216.0,2738216.0,2738216.0,2738216.0,2738216.0,2738216.0,,,0.0,,,,,,,,,,,,,,,,,,,25025.0,25025.0,25025.0,25025.0,25025.0,25025.0,,,0.0,0.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,9.0,10.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000.0,3.0,133300.0,3.0,200000.0,3.0,200000.0,3.0,195000.0,3.0,200000.0,3.0,,,,,200000.0,3.0,2.0,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2007.0,2013.0,2085.0,143.0,19.0,2215.0,14454.0,25025.0,250894.0,2738216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
2738217.0,2507.0,0.0,1499.0,1405.0,4.0,93291.0,9032.0,0.0,0.0,0.0,0.0,501.0,2738217.0,2484.0,0.0,1489.0,1387.0,4.0,93291.0,9032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47300.0,6107.0,68639.0,36.4361,119.2957,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,0.0,1.0,17.0,175.0,17500.0,1750000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,1750000.0,1750000.0,1750000.0,,,,,,254.0,82.0,,,,,,,,,,,,,,,,,,,2738217.0,2738217.0,2738217.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,6107.0,6107.0,6107.0,,,,,,0.0,0.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000.0,3.0,106700.0,3.0,100000.0,3.0,,,,,,,,,,,100000.0,3.0,2.0,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,2010.0,1473.0,1409.0,4.0,93291.0,47300.0,6107.0,68639.0,2738217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
2791884.0,1833.0,0.0,1043.0,149.0,19.0,2184.0,5316.0,1446.0,31.0,182.0,380.0,59.0,2791884.0,1819.0,0.0,1031.0,144.0,19.0,2184.0,5316.0,1449.0,30.0,183.0,375.0,0.0,0.0,0.0,14454.0,25021.0,250985.0,42.2087,71.0197,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,87.0,874.0,8748.0,874800.0,87480000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,87480000.0,87480000.0,87480000.0,87480000.0,87480000.0,126.0,130.0,,,,,,,,,,,,,,,,,,,,,,2791884.0,2791884.0,2791884.0,2791884.0,2791884.0,0.0,,,,,,,,,,,,,,,,,,,,,,25021.0,25021.0,25021.0,25021.0,25021.0,0.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133300.0,3.0,130000.0,3.0,130000.0,3.0,130000.0,3.0,130000.0,3.0,130000.0,3.0,130000.0,3.0,2.0,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2010.0,2015.0,1033.0,152.0,19.0,2184.0,14454.0,25021.0,250985.0,2791884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,29.0,26.0,25.0,21.0,20.0,15.0,16.0,18.0,,,,,,,,,,
